ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
4731804,HM340634,05/09/2006 06:47:00 PM,010XX N CALIFORNIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,true,true,1311,012,26,24,08B,,,2006,02/04/2016 06:33:39 AM,,,
10413660,HZ151450,02/13/2016 11:30:00 PM,031XX W AUGUSTA BLVD,0820,THEFT,$500 AND UNDER,OTHER,false,false,1211,012,26,23,06,1155146,1906486,2016,02/20/2016 03:53:39 PM,41.89920657,-87.705597412,"(41.89920657, -87.705597412)"
6286965,HP373564,06/03/2008 07:00:00 PM,055XX S WINCHESTER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0715,007,15,67,14,1164302,1867886,2008,02/04/2016 06:33:39 AM,41.793095576,-87.673057686,"(41.793095576, -87.673057686)"
7603740,HS408320,06/20/2010 01:30:00 AM,030XX S KARLOV AVE,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,false,false,1031,010,22,30,03,1149530,1884087,2010,02/04/2016 06:33:39 AM,41.837851998,-87.726806285,"(41.837851998, -87.726806285)"
10286077,HY473857,09/24/2015 02:00:00 AM,006XX E GRAND AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1834,018,42,8,06,,,2015,10/24/2015 04:03:39 PM,,,
6579411,HP650944,10/27/2008 04:30:00 PM,053XX W WRIGHTWOOD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,2515,025,31,19,05,1140420,1916780,2008,02/04/2016 06:33:39 AM,41.927737396,-87.759433277,"(41.927737396, -87.759433277)"
7467623,HS269536,04/21/2010 11:30:00 PM,072XX N DAMEN AVE,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,SIDEWALK,true,false,2424,024,49,1,15,1161719,1948076,2010,02/04/2016 06:33:39 AM,42.01319714,-87.680290835,"(42.01319714, -87.680290835)"
2915264,HJ584182,08/24/2003 05:28:10 PM,058XX S SACRAMENTO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,false,0824,008,14,63,08B,,,2003,02/04/2016 06:33:39 AM,,,
2602248,HJ201397,02/24/2003 02:30:00 AM,014XX S UNION AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,1232,012,25,28,04B,,,2003,02/04/2016 06:33:39 AM,,,
1852457,G693256,11/18/2001 02:15:17 AM,033XX W 48 PL,1310,CRIMINAL DAMAGE,TO PROPERTY,FACTORY/MANUFACTURING BUILDING,false,false,0821,008,,,14,1154588,1872344,2001,08/17/2015 03:03:40 PM,41.805528167,-87.708559355,"(41.805528167, -87.708559355)"
3757359,HL127763,01/16/2005 02:00:00 AM,050XX N LOWELL AVE,0810,THEFT,OVER $500,STREET,false,false,1712,017,39,14,06,,,2005,02/04/2016 06:33:39 AM,,,
4633659,HM232265,03/11/2006 01:00:00 PM,006XX W 60TH ST,0890,THEFT,FROM BUILDING,OTHER,false,false,0711,007,20,68,06,,,2006,02/04/2016 06:33:39 AM,,,
5330880,HM733507,11/21/2006 05:30:00 PM,012XX N BURLING ST,2027,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,true,false,1822,018,27,8,18,,,2006,02/04/2016 06:33:39 AM,,,
5902293,HN678840,10/30/2007 02:30:00 PM,019XX E 72ND ST,0810,THEFT,OVER $500,SIDEWALK,false,false,0333,003,5,43,06,,,2007,02/04/2016 06:33:39 AM,,,
8413880,HT641019,12/20/2011 08:40:00 PM,064XX S RACINE AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,RESIDENCE,false,false,0724,007,16,68,26,1169429,1862055,2011,02/04/2016 06:33:39 AM,41.776985027,-87.654426349,"(41.776985027, -87.654426349)"
9420551,HW564520,12/09/2013 01:40:00 PM,007XX W 69TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0732,007,6,68,18,1172378,1859114,2013,02/04/2016 06:33:39 AM,41.76885018,-87.64370187,"(41.76885018, -87.64370187)"
4981454,HM299084,04/18/2006 09:13:16 PM,074XX S EBERHART AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,APARTMENT,true,false,0323,003,6,69,18,,,2006,02/04/2016 06:33:39 AM,,,
3941477,HL309906,04/18/2005 08:00:00 PM,035XX N NORDICA AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,1632,016,36,17,05,,,2005,02/04/2016 06:33:39 AM,,,
2873998,HJ534804,08/02/2003 01:30:00 AM,005XX N SAWYER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1121,011,27,23,08B,,,2003,02/04/2016 06:33:39 AM,,,
7246891,HR647697,11/17/2009 02:45:00 PM,072XX S WABASH AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,0323,003,6,69,08A,1177977,1856991,2009,02/04/2016 06:33:39 AM,41.76289941,-87.623243039,"(41.76289941, -87.623243039)"
1314949,G004893,01/03/2001 10:30:00 AM,049XX N SPAULDING AV,0460,BATTERY,SIMPLE,RESIDENCE,false,true,1713,017,,,08B,1153444,1932762,2001,08/17/2015 03:03:40 PM,41.971343951,-87.711148427,"(41.971343951, -87.711148427)"
10294406,HY481898,10/29/2015 11:30:00 PM,065XX S FAIRFIELD AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0831,008,15,66,06,1159168,1861250,2015,11/05/2015 03:59:15 PM,41.774992127,-87.692065102,"(41.774992127, -87.692065102)"
3965594,HL211993,03/02/2005 10:24:00 PM,032XX N LAKE SHORE DR,2027,NARCOTICS,POSS: CRACK,STREET,true,false,2332,019,44,6,18,,,2005,02/04/2016 06:33:39 AM,,,
6736294,HR153613,02/03/2009 11:30:00 AM,080XX S ADA ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0612,006,21,71,06,1168726,1851460,2009,02/04/2016 06:33:39 AM,41.747926162,-87.657308777,"(41.747926162, -87.657308777)"
9097608,HW242383,04/22/2013 12:41:00 AM,065XX S LAFLIN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0725,007,17,67,08B,1167461,1861385,2013,02/04/2016 06:33:39 AM,41.77518887,-87.661660174,"(41.77518887, -87.661660174)"
5957686,HN753306,12/11/2007 11:35:04 AM,035XX E 114TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",true,false,0433,004,10,52,18,,,2007,02/04/2016 06:33:39 AM,,,
4154495,HL489508,07/16/2005 10:00:00 PM,064XX S KOSTNER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0813,008,13,65,07,,,2005,02/04/2016 06:33:39 AM,,,
10403701,HZ139922,02/01/2016 11:30:00 PM,011XX S CENTRAL PARK AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1133,011,24,29,03,1152542,1895041,2016,02/10/2016 03:51:16 PM,41.867852183,-87.715464555,"(41.867852183, -87.715464555)"
